epoch,step,train/loss,valid/loss
117,471,0.6327252984046936,
117,471,,0.6696192026138306
118,473,0.6247401237487793,
118,475,0.668045699596405,
118,475,,0.6712464690208435
119,477,0.6635586023330688,
119,479,0.6727264523506165,
119,479,,0.662660539150238
120,481,0.6520432829856873,
120,483,0.6724910140037537,
120,483,,0.6692485213279724
121,485,0.6496932506561279,
121,487,0.6357607841491699,
121,487,,0.7941933274269104
122,489,0.8707963824272156,
122,491,0.8376197218894958,
122,491,,0.7651615142822266
123,493,0.6217390298843384,
123,495,0.680476725101471,
123,495,,0.7953345775604248
124,497,0.735728919506073,
124,499,0.6756465435028076,
124,499,,0.6850956082344055
125,501,0.7594337463378906,
125,503,0.8333737254142761,
125,503,,0.6977918744087219
126,505,0.6114702224731445,
126,507,0.8329354524612427,
126,507,,0.816820502281189
127,509,0.7532627582550049,
127,511,0.6025230884552002,
127,511,,0.6656177043914795
128,513,0.7510175108909607,
128,515,0.6881700754165649,
128,515,,0.6818368434906006
129,517,0.6114963889122009,
129,519,0.7792996168136597,
129,519,,0.7988076210021973
130,521,0.7576227188110352,
130,523,0.6623938083648682,
130,523,,0.6146109104156494
131,525,0.6163856387138367,
131,527,0.5685084462165833,
131,527,,0.6120947003364563
132,529,0.6149278879165649,
132,531,0.6152231097221375,
132,531,,0.6840111017227173
133,533,0.7454404234886169,
133,535,0.6353025436401367,
133,535,,0.6564838886260986
134,537,0.6630218029022217,
134,539,0.5674214363098145,
134,539,,0.6606685519218445
135,541,0.6750192046165466,
135,543,0.7410959005355835,
135,543,,0.6483091711997986
136,545,0.6692638993263245,
136,547,0.5898439884185791,
136,547,,0.6192782521247864
137,549,0.6307323575019836,
137,551,0.6339781880378723,
137,551,,0.6058875918388367
138,553,0.6000627875328064,
138,555,0.5839309096336365,
138,555,,0.6044431924819946
139,557,0.6210857033729553,
139,559,0.5396085977554321,
139,559,,0.6014899611473083
140,561,0.626729428768158,
140,563,0.5796182751655579,
140,563,,0.599583625793457
141,565,0.5885232090950012,
141,567,0.5759946703910828,
141,567,,0.5978472828865051
142,569,0.5867366194725037,
142,571,0.5896353721618652,
142,571,,0.5976953506469727
143,573,0.5789419412612915,
143,575,0.5864802598953247,
143,575,,0.5996357798576355
144,577,0.5861324667930603,
144,579,0.7298757433891296,
144,579,,0.6484777331352234
145,581,0.6050041913986206,
145,583,0.589005172252655,
145,583,,0.6438770294189453
146,585,0.6131828427314758,
146,587,0.6016155481338501,
146,587,,0.6095490455627441
147,589,0.5608823895454407,
147,591,0.7599824666976929,
147,591,,0.6605457067489624
148,593,0.5902693271636963,
148,595,0.6636139154434204,
148,595,,0.6044555902481079
149,597,0.5619597434997559,
149,599,0.6481863856315613,
149,599,,0.6535249948501587
150,601,0.6009121537208557,
150,603,0.6580660939216614,
150,603,,0.6089922785758972
151,605,0.580600917339325,
151,607,0.6240741610527039,
151,607,,0.6435607671737671
152,609,0.5868682861328125,
152,611,0.5582772493362427,
152,611,,0.6140584945678711
153,613,0.5753149390220642,
153,615,0.6653860211372375,
153,615,,0.6299095153808594
154,617,0.5815098881721497,
154,619,0.5412722229957581,
154,619,,0.6197673082351685
155,621,0.5794394612312317,
155,623,0.5752624869346619,
155,623,,0.627014696598053
156,625,0.6069446206092834,
156,627,0.549078643321991,
156,627,,0.615389347076416
157,629,0.5606815218925476,
157,631,0.5223256945610046,
157,631,,0.6269011497497559
158,633,0.5911537408828735,
158,635,0.6352770924568176,
158,635,,0.6112865209579468
159,637,0.5872792601585388,
159,639,0.6383240222930908,
159,639,,0.6328597664833069
160,641,0.5912747979164124,
160,643,0.5133962631225586,
160,643,,0.6024325489997864
161,645,0.5578187704086304,
161,647,0.5200897455215454,
161,647,,0.5867371559143066
162,649,0.6163535714149475,
162,651,0.5991795659065247,
162,651,,0.5899562239646912
163,653,0.6301438212394714,
163,655,0.6470670700073242,
163,655,,0.6124216318130493
164,657,0.561847448348999,
164,659,0.6723374128341675,
164,659,,0.5709414482116699
165,661,0.5632537007331848,
165,663,0.6044615507125854,
165,663,,0.573198139667511
166,665,0.5721473693847656,
166,667,0.6138690114021301,
166,667,,0.6063002347946167
167,669,0.57485032081604,
167,671,0.6293561458587646,
167,671,,0.5709078907966614
168,673,0.5732564330101013,
168,675,0.5422824025154114,
168,675,,0.5749151706695557
169,677,0.5764708518981934,
169,679,0.5598746538162231,
169,679,,0.5710464119911194
170,681,0.5437482595443726,
170,683,0.5905905365943909,
170,683,,0.5778009295463562
171,685,0.5581480860710144,
171,687,0.5500245690345764,
171,687,,0.5645056962966919
172,689,0.5503373146057129,
172,691,0.5900780558586121,
172,691,,0.5994188785552979
173,693,0.5991462469100952,
173,695,0.5452974438667297,
173,695,,0.6161367297172546
174,697,0.6696274876594543,
174,699,0.5495238304138184,
174,699,,0.5607232451438904
175,701,0.57958984375,
175,703,0.5915345549583435,
175,703,,0.558729887008667
176,705,0.580302894115448,
176,707,0.5009072422981262,
176,707,,0.5749195218086243
177,709,0.529998242855072,
177,711,0.569866955280304,
177,711,,0.5564764142036438
178,713,0.5694921016693115,
178,715,0.5713969469070435,
178,715,,0.5506364703178406
179,717,0.5831817388534546,
179,719,0.5387628078460693,
179,719,,0.5508902072906494
180,721,0.5218044519424438,
180,723,0.6146746277809143,
180,723,,0.5547033548355103
181,725,0.5390905737876892,
181,727,0.5518909096717834,
181,727,,0.5598913431167603
182,729,0.5265828967094421,
182,731,0.6018698811531067,
182,731,,0.5976711511611938
183,733,0.5549909472465515,
183,735,0.600784182548523,
183,735,,0.6336532831192017
184,737,0.6039062738418579,
184,739,0.5162830948829651,
184,739,,0.5586485862731934
185,741,0.5228945016860962,
185,743,0.5014345645904541,
185,743,,0.5589350461959839
186,745,0.5482826232910156,
186,747,0.47544074058532715,
186,747,,0.5448923707008362
187,749,0.5540987849235535,
187,751,0.6142421960830688,
187,751,,0.5922284722328186
188,753,0.6340370178222656,
188,755,0.5427049994468689,
188,755,,0.5715481638908386
189,757,0.6339434385299683,
189,759,0.5498830080032349,
189,759,,0.5412178635597229
190,761,0.5469639897346497,
190,763,0.5625247955322266,
190,763,,0.5444701313972473
191,765,0.5422331690788269,
191,767,0.5727380514144897,
191,767,,0.5685404539108276
192,769,0.510991632938385,
192,771,0.5482906699180603,
192,771,,0.5468707084655762
193,773,0.530705451965332,
193,775,0.5074915885925293,
193,775,,0.5364142656326294
194,777,0.5304829478263855,
194,779,0.5504107475280762,
194,779,,0.5492136478424072
195,781,0.555708110332489,
195,783,0.4201161563396454,
195,783,,0.5382566452026367
196,785,0.5114570260047913,
196,787,0.5892823338508606,
196,787,,0.5373802781105042
197,789,0.5213449001312256,
197,791,0.5356582403182983,
197,791,,0.5367950797080994
198,793,0.5393424034118652,
198,795,0.5710285902023315,
198,795,,0.5384000539779663
199,797,0.547565221786499,
199,799,0.5674444437026978,
199,799,,0.5882862210273743
200,801,0.5387821793556213,
200,803,0.627569854259491,
200,803,,0.5856950879096985
201,805,0.5540680289268494,
201,807,0.561566174030304,
201,807,,0.5544491410255432
202,809,0.5294746160507202,
202,811,0.5405113697052002,
202,811,,0.5936900973320007
203,813,0.5350794792175293,
203,815,0.5708317756652832,
203,815,,0.5664491057395935
204,817,0.5279898047447205,
204,819,0.6109087467193604,
204,819,,0.5898689031600952
205,821,0.5060587525367737,
205,823,0.5775464177131653,
205,823,,0.5599896907806396
206,825,0.5377777814865112,
206,827,0.5727960467338562,
206,827,,0.5874567627906799
207,829,0.5465003252029419,
207,831,0.592893660068512,
