epoch,valid/loss,step,train/loss
410,0.01728913001716137,1643,
411,,1644,0.013582400046288967
411,0.01819065771996975,1647,
412,,1649,0.014347863383591175
412,0.018133394420146942,1651,
413,,1654,0.013527223840355873
413,0.017500070855021477,1655,
414,,1659,0.011626042425632477
414,0.017263026908040047,1659,
415,0.016855061054229736,1663,
416,,1664,0.013520906679332256
416,0.016609694808721542,1667,
417,,1669,0.01379768643528223
417,0.016777796670794487,1671,
418,,1674,0.015428616665303707
418,0.016290605068206787,1675,
419,,1679,0.013464693911373615
419,0.01662531867623329,1679,
420,0.01651340164244175,1683,
421,,1684,0.01344445813447237
421,0.016629358753561974,1687,
422,,1689,0.014884228818118572
422,0.016601402312517166,1691,
423,,1694,0.013679821975529194
423,0.017009278759360313,1695,
424,,1699,0.011887410655617714
424,0.016250452026724815,1699,
425,0.0163457952439785,1703,
426,,1704,0.012890856713056564
426,0.016257574781775475,1707,
427,,1709,0.011776317842304707
427,0.016420984640717506,1711,
428,,1714,0.012003029696643353
428,0.01638999953866005,1715,
429,,1719,0.013250475749373436
429,0.016411395743489265,1719,
430,0.016336025670170784,1723,
431,,1724,0.012769244611263275
431,0.01690642163157463,1727,
432,,1729,0.013003137893974781
432,0.018512234091758728,1731,
433,,1734,0.0182455126196146
433,0.02190069667994976,1735,
434,,1739,0.02383933961391449
434,0.02355106920003891,1739,
435,0.028115462511777878,1743,
436,,1744,0.022954072803258896
436,0.026832694187760353,1747,
437,,1749,0.021800562739372253
437,0.02088765613734722,1751,
438,,1754,0.015791786834597588
438,0.018418753519654274,1755,
439,,1759,0.012330512516200542
439,0.018891071900725365,1759,
440,0.02085290662944317,1763,
441,,1764,0.016480082646012306
441,0.02717430330812931,1767,
442,,1769,0.022664235904812813
442,0.022164296358823776,1771,
443,,1774,0.015190650708973408
443,0.018564488738775253,1775,
444,,1779,0.017021941021084785
444,0.016216358169913292,1779,
445,0.015926487743854523,1783,
446,,1784,0.013531033881008625
446,0.016390159726142883,1787,
447,,1789,0.012355079874396324
447,0.016188422217965126,1791,
448,,1794,0.013561587780714035
448,0.01617569848895073,1795,
